Date,Ticker,Open,High,Low,Close,Volume,Shares,Purchase_Price,Purchase_Date,Asset_Name,Asset_Class,Position_Value,Cost_Basis,Unrealized_Gain,Unrealized_Gain_Pct,Price_Change,Price_Change_Pct
2025-05-09,V,349.93656034832185,351.8959597098463,348.78282977450584,350.64276123046875,3086600.0,110,272.3,10/02/2025,Visa Inc,Equity,38570.70373535156,29953.0,8617.703735351562,28.77075329800542,1.26318359375,0.3615504953937032
2025-05-12,V,357.2072085072865,359.94240866134515,349.2403067091233,353.9349060058594,7985400.0,110,272.3,10/02/2025,Visa Inc,Equity,38932.83966064453,29953.0,8979.839660644531,29.979767170715892,3.292144775390625,0.9388885610636555
2025-05-13,V,354.1939629754626,357.53147415475826,353.25746657521245,354.8116760253906,5406200.0,110,272.3,10/02/2025,Visa Inc,Equity,39029.28436279297,29953.0,9076.284362792969,30.301753957176135,0.87677001953125,0.24772069797398544
2025-05-14,V,355.3396707410757,357.0731709897608,353.8850945011151,355.13043212890625,6207600.0,110,272.3,10/02/2025,Visa Inc,Equity,39064.34753417969,29953.0,9111.347534179688,30.418814590123482,0.318756103515625,0.08983810991969321
2025-05-15,V,355.5588445221869,362.3733282415818,355.34960591405303,360.9486389160156,5826100.0,110,272.3,10/02/2025,Visa Inc,Equity,39704.35028076172,29953.0,9751.350280761719,32.55550455968256,5.818206787109375,1.6383295433823886
2025-05-16,V,361.5962590183874,364.8241645387152,359.5439449648763,363.7581481933594,5838100.0,110,272.3,10/02/2025,Visa Inc,Equity,40013.39630126953,29953.0,10060.396301269531,33.587274400793014,2.80950927734375,0.7783681594647707
2025-05-19,V,361.6659679468374,367.773108645852,360.9685971052235,366.52777099609375,5081500.0,110,272.3,10/02/2025,Visa Inc,Equity,40318.05480957031,29953.0,10365.054809570312,34.60439625269694,2.769622802734375,0.7613912750793261
2025-05-20,V,366.4082371024781,366.876485292389,363.3297659659902,365.47174072265625,5281400.0,110,272.3,10/02/2025,Visa Inc,Equity,40201.89147949219,29953.0,10248.891479492188,34.21657756983336,-1.0560302734375,-0.2881173970986084
2025-05-21,V,362.3633592911799,364.6248814559977,356.7443813752,356.96356201171875,6125500.0,110,272.3,10/02/2025,Visa Inc,Equity,39265.99182128906,29953.0,9312.991821289062,31.092016897436192,-8.5081787109375,-2.3279990661149497
2025-05-22,V,356.42558794211976,358.65722315700793,355.2300517034299,356.6347961425781,4936600.0,110,272.3,10/02/2025,Visa Inc,Equity,39229.827575683594,29953.0,9276.827575683594,30.971280258016204,-0.328765869140625,-0.09210068032933227
2025-05-23,V,352.4305522046606,354.6721599571991,350.90626014908446,352.2213439941406,5345900.0,110,272.3,10/02/2025,Visa Inc,Equity,38744.34783935547,29953.0,8791.347839355469,29.35047520901235,-4.4134521484375,-1.2375270714395037
2025-05-27,V,354.08436394376315,358.6572401066731,353.1578400370545,357.9598388671875,6316000.0,110,272.3,10/02/2025,Visa Inc,Equity,39375.582275390625,29953.0,9422.582275390625,31.457891614831983,5.738494873046875,1.6292297360441355
2025-05-28,V,357.99971519077724,359.5638666368891,356.7045761459249,358.3882751464844,3299000.0,110,272.3,10/02/2025,Visa Inc,Equity,39422.71026611328,29953.0,9469.710266113281,31.615231416263086,0.428436279296875,0.11968836522351367
2025-05-29,V,359.00593726142085,361.6859062675408,357.38201213090014,361.04827880859375,4590400.0,110,272.3,10/02/2025,Visa Inc,Equity,39715.31066894531,29953.0,9762.310668945312,32.59209651435687,2.660003662109375,0.7422128028664376
2025-05-30,V,360.00223751411494,365.6710173003818,360.00223751411494,363.8279113769531,8726900.0,110,272.3,10/02/2025,Visa Inc,Equity,40021.070251464844,29953.0,10068.070251464844,33.61289437273343,2.779632568359375,0.7698783601826742
2025-06-02,V,361.41689048300816,364.0968594639265,358.617373955599,363.9573974609375,3845700.0,110,272.3,10/02/2025,Visa Inc,Equity,40035.313720703125,29953.0,10082.313720703125,33.66044710280482,0.129486083984375,0.03558992587850973
2025-06-03,V,363.2201368262953,365.51157628054034,360.15163832005675,364.495361328125,5221300.0,110,272.3,10/02/2025,Visa Inc,Equity,40094.48974609375,29953.0,10141.48974609375,33.85801003603562,0.5379638671875,0.14780957082902724
2025-06-04,V,365.3422138972344,368.2812229666743,364.943711922671,366.6274108886719,4202300.0,110,272.3,10/02/2025,Visa Inc,Equity,40329.015197753906,29953.0,10376.015197753906,34.64098820737124,2.132049560546875,0.5849318775356327
2025-06-05,V,368.6199409418239,369.6162110524775,364.5651142945636,365.4019775390625,6881900.0,110,272.3,10/02/2025,Visa Inc,Equity,40194.217529296875,29953.0,10241.217529296875,34.190957597892954,-1.225433349609375,-0.3342448800102038
2025-06-06,V,367.6336330407983,369.6162007766807,366.1790568289824,368.839111328125,5008500.0,110,272.3,10/02/2025,Visa Inc,Equity,40572.30224609375,29953.0,10619.30224609375,35.45321752777268,3.4371337890625,0.9406445504786642
2025-06-09,V,368.4107191116784,368.4107191116784,360.69956806574646,365.2923889160156,4999900.0,110,272.3,10/02/2025,Visa Inc,Equity,40182.16278076172,29953.0,10229.162780761719,34.15071205141962,-3.546722412109375,-0.9615906510939798
2025-06-10,V,365.6311406230525,370.054582467795,365.3123268820121,369.3173522949219,4109300.0,110,272.3,10/02/2025,Visa Inc,Equity,40624.908752441406,29953.0,10671.908752441406,35.62884770287253,4.02496337890625,1.101847041174353
2025-06-11,V,368.61995081675866,374.1094090027169,368.0022681962065,371.9176025390625,5562700.0,110,272.3,10/02/2025,Visa Inc,Equity,40910.936279296875,29953.0,10957.936279296875,36.58376883549853,2.600250244140625,0.7040693398192133
2025-06-12,V,370.8416306826805,372.77439711113993,368.17160370484686,370.01470947265625,4874000.0,110,272.3,10/02/2025,Visa Inc,Equity,40701.61804199219,29953.0,10748.618041992188,35.88494655624541,-1.90289306640625,-0.5116437225383463
2025-06-13,V,360.1616076005028,361.6560127256915,343.71317879339284,351.5339050292969,14181700.0,110,272.3,10/02/2025,Visa Inc,Equity,38668.729553222656,29953.0,8715.729553222656,29.09801874010168,-18.480804443359375,-4.9946134492053424
2025-06-16,V,355.1603259177902,358.87642441668567,353.0083788066973,354.15411376953125,7234700.0,110,272.3,10/02/2025,Visa Inc,Equity,38956.95251464844,29953.0,9003.952514648438,30.06026947099936,2.620208740234375,0.7453644450073682
2025-06-17,V,352.17152878606583,358.2587552676861,352.0021798851322,356.5053100585937,5559600.0,110,272.3,10/02/2025,Visa Inc,Equity,39215.584106445305,29953.0,9262.584106445305,30.9237275279448,2.351196289062443,0.6638907180935627
2025-06-18,V,356.5152840876527,357.1429391552553,336.77917458110494,339.1104431152344,15008600.0,110,272.3,10/02/2025,Visa Inc,Equity,37302.14874267578,29953.0,7349.148742675781,24.535601584735357,-17.394866943359318,-4.87927288951191
2025-06-20,V,337.6857774607158,338.73184895038537,333.6708099966599,337.30718994140625,19332100.0,110,272.3,10/02/2025,Visa Inc,Equity,37103.79089355469,29953.0,7150.7908935546875,23.873371260156535,-1.803253173828125,-0.5317598471054286
2025-06-23,V,336.2411765358665,343.01580141271785,334.37815621491995,342.4678649902344,7553300.0,110,272.3,10/02/2025,Visa Inc,Equity,37671.46514892578,29953.0,7718.465148925781,25.76858795087564,5.160675048828125,1.529962954458397
2025-06-24,V,350.20884540966244,353.2375149471754,346.62229746685085,350.3184509277344,10172000.0,110,272.3,10/02/2025,Visa Inc,Equity,38535.02960205078,29953.0,8582.029602050781,28.651652929759226,7.8505859375,2.2923569596008164
2025-06-25,V,349.1428733235832,349.9797365701998,343.97222900390625,343.97222900390625,6836300.0,110,272.3,10/02/2025,Visa Inc,Equity,37836.94519042969,29953.0,7883.9451904296875,26.321053618768364,-6.346221923828125,-1.811558000162905
2025-06-26,V,342.4977415890065,345.61607193787034,340.7542688741627,344.7393493652344,8829500.0,110,272.3,10/02/2025,Visa Inc,Equity,37921.32843017578,29953.0,7968.328430175781,26.60277244408167,0.767120361328125,0.22301810920888343
2025-06-27,V,345.2972681398286,350.6970657382951,344.3707441958881,347.3097229003906,6601900.0,110,272.3,10/02/2025,Visa Inc,Equity,38204.06951904297,29953.0,8251.069519042969,27.54672159397379,2.57037353515625,0.7455991141971596
2025-06-30,V,348.0469863402904,354.2836168648936,347.758059480953,353.7257080078125,7080100.0,110,272.3,10/02/2025,Visa Inc,Equity,38909.827880859375,29953.0,8956.827880859375,29.902940876905067,6.415985107421875,1.8473381781085374
2025-07-01,V,352.5002949332504,355.6684265620288,350.1092527682053,354.1441345214844,6653400.0,110,272.3,10/02/2025,Visa Inc,Equity,38955.85479736328,29953.0,9002.854797363281,30.056604671863525,0.418426513671875,0.1182912364579014
2025-07-02,V,353.2773912217689,355.0308059613415,348.6945425813777,352.8988037109375,5131400.0,110,272.3,10/02/2025,Visa Inc,Equity,38818.868408203125,29953.0,8865.868408203125,29.599266878787184,-1.245330810546875,-0.3516451888239125
2025-07-03,V,353.2674218638584,357.6609767870464,352.29106619078834,357.521484375,3702800.0,110,272.3,10/02/2025,Visa Inc,Equity,39327.36328125,29953.0,9374.36328125,31.29690942893867,4.6226806640625,1.3099167850534776
2025-07-07,V,357.5812785530083,358.3185086996293,353.16777889225483,355.3097839355469,5138000.0,110,272.3,10/02/2025,Visa Inc,Equity,39084.076232910156,29953.0,9131.076232910156,30.484680108537226,-2.211700439453125,-0.6186202888812442
2025-07-08,V,355.34962986453337,356.94366818555045,351.93243054636235,353.2275695800781,6966800.0,110,272.3,10/02/2025,Visa Inc,Equity,38855.032653808594,29953.0,8902.032653808594,29.72000351820717,-2.08221435546875,-0.5860278690908438
2025-07-09,V,353.7456594506009,356.4256286621094,352.43057551854974,356.4256286621094,7297100.0,110,272.3,10/02/2025,Visa Inc,Equity,39206.81915283203,29953.0,9253.819152832031,30.894465171542183,3.19805908203125,0.9053820702141557
