Date,Portfolio_Value,Daily_Return,Cumulative_Return,Peak,Drawdown,Daily_Return_Pct,Portfolio_Gain_Loss,Return_Category
2025-04-07,357220.3649902344,-0.0039880379148006,11.52769043116173,426021.2230682373,-16.149631603443115,-0.39880379148005995,36922.90019989014,Negative
2025-04-08,352855.58837890625,-0.0122187227803975,10.164964499445372,426021.2230682373,-17.174176009914856,-1.22187227803975,32558.12358856201,Negative
2025-04-09,382564.7095489502,0.0841962608741269,19.440442589629605,426021.2230682373,-10.200551326131125,8.419626087412691,62267.24475860596,Positive
2025-04-10,371186.509552002,-0.0297418965025898,15.8880573079053,426021.2230682373,-12.871357234578962,-2.97418965025898,50889.04476165777,Negative
2025-04-11,379219.5739746094,0.0216415850681179,18.396058558513275,426021.2230682373,-10.985755300301449,2.1641585068117903,58922.10918426514,Positive
2025-04-14,381592.7642059326,0.0062580900201163,19.13699175099939,426021.2230682373,-10.428696143898076,0.62580900201163,61295.29941558838,Positive
2025-04-15,380164.359664917,-0.0037432694615895,18.69102988803224,426021.2230682373,-10.76398567025738,-0.37432694615895,59866.894874572754,Negative
2025-04-16,372025.2737426758,-0.0214093870593633,16.149927688684883,426021.2230682373,-12.67447404067773,-2.14093870593633,51727.80895233154,Negative
2025-04-17,373412.4593353272,0.0037287401973955,16.583020592982265,426021.2230682373,-12.348859841774509,0.37287401973955,53114.99454498297,Positive
2025-04-21,366299.7985076904,-0.0190477330089553,14.36237834334959,426021.2230682373,-14.01841535743892,-1.9047733008955299,46002.33371734613,Negative
2025-04-22,374337.1696472168,0.0219420572227195,16.87172419308567,426021.2230682373,-12.131802507111743,2.19420572227195,54039.70485687256,Positive
2025-04-23,379752.78938293457,0.0144672241359882,18.56253362214644,426021.2230682373,-10.860593599556834,1.4467224135988201,59455.32459259033,Positive
2025-04-24,385669.23278808594,0.0155797233636256,20.40970509727007,426021.2230682373,-9.47182630704012,1.55797233636256,65371.7679977417,Positive
2025-04-25,388107.35511779785,0.0063217963021997,21.17091072570294,426021.2230682373,-8.899525633343075,0.63217963021997,67809.89032745361,Positive
2025-04-28,388001.3373565674,-0.0002731660707596,21.137810944129637,426021.2230682373,-8.924411191970162,-0.02731660707596,67703.87256622314,Negative
2025-04-29,389889.04052734375,0.0048651975883309,21.727170329790702,426021.2230682373,-8.481310456945511,0.48651975883309007,69591.57573699951,Positive
2025-04-30,389984.9956512451,0.0002461088000103,21.75712845760922,426021.2230682373,-8.458786902083549,0.02461088000103,69687.53086090088,Positive
2025-05-01,395188.9282989502,0.0133439304222844,23.38184710816471,426021.2230682373,-7.237267323733443,1.33439304222844,74891.46350860596,Positive
2025-05-02,398956.43882751465,0.0095334414979217,24.558100729475928,426021.2230682373,-6.352919238576904,0.9533441497921701,78658.97403717041,Positive
2025-05-05,396487.67333984375,-0.006188057761209,23.787328007535447,426021.2230682373,-6.932412783497188,-0.6188057761208999,76190.20854949951,Negative
2025-05-06,394144.2094421387,-0.0059105592816158,23.05567566703408,426021.2230682373,-7.482494274937279,-0.59105592816158,73846.74465179443,Negative
2025-05-07,394813.2948303223,0.0016975649322124,23.26457066675616,426021.2230682373,-7.32543980160264,0.16975649322124,74515.83003997809,Positive
2025-05-08,397191.3040924072,0.0060231235706156,24.00700840776091,426021.2230682373,-6.76724947367523,0.6023123570615599,76893.83930206299,Positive
2025-05-09,396594.0827941895,-0.0015036112121901,23.82055007952884,426021.2230682373,-6.90743528270994,-0.15036112121901002,76296.61800384527,Negative
2025-05-12,408319.080657959,0.0295642279409755,27.481209045857003,426021.2230682373,-4.155225479797964,2.9564227940975503,88021.61586761475,Positive
2025-05-13,409949.5993804932,0.0039932464579093,27.99027293232936,426021.2230682373,-3.7724936734360495,0.39932464579092997,89652.13459014898,Positive
2025-05-14,411518.8333129883,0.0038278703891077,28.480203108180845,426021.2230682373,-3.4041472513509308,0.38278703891077004,91221.36852264404,Positive
2025-05-15,413616.247253418,0.0050967629441018,29.135036246433295,426021.2230682373,-2.9118210885076934,0.5096762944101799,93318.78246307379,Positive
2025-05-16,415332.6886749268,0.0041498404206958,29.670926039576774,426021.2230682373,-2.508920639289025,0.41498404206958006,95035.22388458258,Positive
2025-05-19,415599.0258789063,0.0006412623211267,29.75407911859158,426021.2230682373,-2.446403283449028,0.06412623211266999,95301.56108856207,Positive
2025-05-20,414631.8882751465,-0.0023270930477146,29.45212930316208,426021.2230682373,-2.6734195801476623,-0.23270930477146,94334.42348480225,Negative
2025-05-21,409739.0418243408,-0.0118004586457634,27.924534804714103,426021.2230682373,-3.821917867525704,-1.18004586457634,89441.57703399658,Negative
2025-05-22,410151.5802001953,0.0010068319924254,28.05333331897164,426021.2230682373,-3.725082697464599,0.10068319924254,89854.11540985107,Positive
2025-05-23,407541.06170654297,-0.0063647651738367,27.238303922669328,426021.2230682373,-4.337849938225801,-0.63647651738367,87243.59691619873,Negative
2025-05-27,415200.6679534912,0.0187946859020151,29.62970787960104,426021.2230682373,-2.539909875103319,1.87946859020151,94903.20316314697,Positive
2025-05-28,413109.6295928955,-0.0050362114562636,28.976865259705665,426021.2230682373,-3.0307394975188084,-0.5036211456263601,92812.16480255127,Negative
2025-05-29,414803.0937957764,0.0040993094364556,29.50558134054926,426021.2230682373,-2.633232492894866,0.40993094364556,94505.62900543219,Positive
2025-05-30,415154.935836792,0.0008482146017667,29.6154298656526,426021.2230682373,-2.5506445789685084,0.08482146017667,94857.47104644775,Positive
2025-06-02,416229.7003936768,0.0025888276017205,29.95098186809766,426021.2230682373,-2.298364997884672,0.25888276017205,95932.23560333258,Positive
2025-06-03,417297.7154541016,0.0025659270816442,30.284426611759272,426021.2230682373,-2.0476697267118205,0.25659270816442,97000.25066375738,Positive
2025-06-04,417279.7382354736,-4.308007919084922e-05,30.278813948343508,426021.2230682373,-2.051889520856931,-0.004308007919084922,96982.27344512934,Negative
2025-06-05,415528.8348388672,-0.0041959942843388,29.73216478964582,426021.2230682373,-2.462879232589199,-0.41959942843388,95231.37004852295,Negative
2025-06-06,420037.5476837158,0.0108505414470141,31.13982902070676,426021.2230682373,-1.404548661079985,1.08505414470141,99740.08289337158,Positive
2025-06-09,420898.6483764648,0.0020500564711358,31.4086730758143,426021.2230682373,-1.2024224180380738,0.20500564711358,100601.18358612055,Positive
2025-06-10,422876.5223693848,0.0046991692668749,32.02618467373299,426021.2230682373,-0.73815587782321,0.46991692668749,102579.05757904059,Positive
2025-06-11,421075.3142547608,-0.0042594185757388,31.46382989024976,426021.2230682373,-1.1609536205393178,-0.42594185757388,100777.84946441656,Negative
2025-06-12,422963.8420104981,0.0044850118062127,32.05344671939745,426021.2230682373,-0.71765933061263,0.44850118062127,102666.37722015387,Positive
2025-06-13,418746.293258667,-0.0099714167806485,30.736686764837184,426021.2230682373,-1.7076449283854211,-0.9971416780648499,98448.82846832275,Negative
2025-06-16,422479.9349975586,0.008916238302282,31.902366218883277,426021.2230682373,-0.8312468672743822,0.8916238302282,102182.47020721436,Positive
2025-06-17,419338.1927490234,-0.0074364294923339,30.921483572624545,426021.2230682373,-1.5687083077885575,-0.74364294923339,99040.72795867914,Negative
2025-06-18,419854.277420044,0.0012307122984369,31.082610252586985,426021.2230682373,-1.4475677065519332,0.12307122984369001,99556.81262969977,Positive
2025-06-20,418940.629196167,-0.0021761079331886,30.79736034451324,426021.2230682373,-1.6620284363007445,-0.21761079331886,98643.16440582275,Negative
2025-06-23,422651.8872833252,0.0088586731114599,31.956051403647123,426021.2230682373,-0.79088449177388,0.8858673111459899,102354.42249298096,Positive
2025-06-24,426459.90394592285,0.0090098181912172,33.14495143602492,426459.90394592285,0.0,0.9009818191217199,106162.43915557861,Positive
2025-06-25,428050.5792999268,0.003729952896593,33.64157583330047,428050.5792999268,0.0,0.3729952896593,107753.11450958258,Positive
2025-06-26,431444.2282867432,0.0079281495013199,34.70110622609886,431444.2282867432,0.0,0.79281495013199,111146.76349639898,Positive
2025-06-27,433199.6576690674,0.0040687283946176,35.249168441787404,433199.6576690674,0.0,0.40687283946175995,112902.19287872314,Positive
2025-06-30,434951.76902771,0.0040445815863987,35.79619473804281,434951.76902771,0.0,0.40445815863987,114654.30423736578,Positive
2025-07-01,435094.02755737305,0.0003270673665292,35.84060924184045,435094.02755737305,0.0,0.03270673665292,114796.56276702881,Positive
2025-07-02,436991.1976623535,0.004360368069475,36.432924296916624,436991.1976623535,0.0,0.4360368069475,116693.73287200928,Positive
2025-07-03,441060.0514984131,0.0093110658929185,37.70326024500879,441060.0514984131,0.0,0.93110658929185,120762.58670806885,Positive
2025-07-07,437825.52993774414,-0.0073335173967361,36.69341099041472,441060.0514984131,-0.7333517396736156,-0.73335173967361,117528.0651473999,Negative
2025-07-08,434954.3756866455,-0.0065577588668866,35.79700856244734,441060.0514984131,-1.3843184824889,-0.65577588668866,114656.91089630127,Negative
2025-07-09,437660.7204437256,0.0062221347993285,36.641955855068446,441060.0514984131,-0.7707184187592975,0.62221347993285,117363.25565338135,Positive
2025-07-10,439422.2956085205,0.0040249788992006,37.1919368441306,441060.0514984131,-0.3713226542119696,0.40249788992005997,119124.83081817627,Positive
2025-07-11,438838.0645751953,-0.0013295434463928,37.00953420360156,441060.0514984131,-0.5037833092498389,-0.13295434463928,118540.59978485107,Negative
2025-07-14,438678.76976013184,-0.0003629922468501,36.9598008049411,441060.0514984131,-0.5398996644994991,-0.03629922468501,118381.3049697876,Negative
2025-07-15,438386.1186981201,-0.0006671192731112,36.86843228218264,441060.0514984131,-0.6062514143388875,-0.06671192731112,118088.65390777588,Negative
2025-07-16,440457.57789611816,0.0047251934074685,37.51516209609296,441060.0514984131,-0.1365967287783487,0.47251934074685,120160.11310577393,Positive
2025-07-17,443493.2204437256,0.0068920202533633,38.46291937840378,443493.2204437256,0.0,0.68920202533633,123195.75565338135,Positive
2025-07-18,443995.1347351074,0.0011317293438661,38.61962192730169,443995.1347351074,0.0,0.11317293438661,123697.66994476318,Positive
2025-07-21,445391.7685699463,0.0031456061690227,39.05566466518382,445391.7685699463,0.0,0.31456061690227,125094.30377960205,Positive
